ADDRESS,TRANSACTION,TYPE,LATITUDE,LONGITUDE
3338-76 Motor Avenue,Sold,Owner/User,34.0287221,-118.4098577
3355 Motor Avenue,Sold,Owner/User,34.0281639,-118.4102048
3638 Motor Avenue,Sold,Owner/User,34.0240195,-118.4064064
3679 Motor Avenue,Sold,Dev. Site,34.0229943,-118.4060886
3819-21 Motor Avenue,Sold,Dev. Site,34.0197491,-118.4037364
3355 Overland Avenue,Sold,Owner/User,34.0266665,-118.4133676
3526 Overland Avenue,Sold,Owner/User,34.0242503,-118.4110275
3614 Overland Avenue (Rep. Buyer),Sold,Dev. Site,34.0230036,-118.409898
3615 Overland Avenue,Sold,Owner/User,34.0220608,-118.4099892
3620 Overland Avenue (Rep. Buyer),Sold,Dev. Site,34.0228723,-118.4099436
3630 Overland Avenue,Sold,Investment,34.0227639,-118.4095784
3644 Overland Avenue,Sold,Dev. Site,34.0224028,-118.4092477
3645-47 Overland Avenue,Sold,Owner/User,34.0218898,-118.4097816
3650 Overland Avenue,Sold,Dev. Site,34.0221853,-118.4094112
3652 Overland Avenue,Sold,Dev. Site,34.0220726,-118.4093046
3652 Overland Avenue,Sold,Owner/User,34.0220726,-118.4093046
3658 Overland Avenue,Sold,Dev. Site,34.021964,-118.409259
3718 Overland Avenue,Sold,Dev. Site,34.0208388,-118.4081636
3750 Overland Avenue,Sold,Investment,34.0199647,-118.4076615
3847 Grand View Boulevard,Sold,Owner/User,34.0035164,-118.430412
9501 Culver Boulevard,Sold,Investment,34.0235306,-118.3951676
11201 Culver Boulevard,Sold,Owner/User,34.0047464,-118.4099657
11205 Culver Boulevard,Sold,Owner/User,34.004628,-118.4100754
11209 Culver Boulevard,Sold,Owner/User,34.0045083,-118.4101829
11722 Culver Boulevard (2),Sold,Dev. Site,33.998012,-118.414875
11724 Culver Boulevard,Sold,Owner/User,33.9980362,-118.4150226
3411 W. 43rd Place,Sold,Owner/User,34.0045181,-118.3319228
1255 LaCienega Boulevard,Sold,Dev. Site,34.0541575,-118.3764674
1638 LaCienega Boulevard,Sold,Owner/User,34.0478197,-118.3758398
1729 LaCienega Boulevard,Sold,Owner/User,34.0463922,-118.3766433
1731-35 LaCienega Boulevard,Sold,Owner/User,34.046251,-118.376684
1737-41 LaCienega Boulevard,Sold,Owner/User,34.0461327,-118.376718
2639 LaCienega Boulevard,Sold,Owner/User,34.0340413,-118.3773672
2659 LaCienega Boulevard,Sold,Owner/User,34.0337091,-118.3768094
2672 LaCienega Boulevard,Sold,Owner/User,34.0340903,-118.3764617
2680 LaCienega Boulevard,Sold,Owner/User,34.0339986,-118.3763121
2688 LaCienega Boulevard,Sold,Owner/User,34.033907,-118.3761629
2720 LaCienega Boulevard,Sold,Owner/User,34.0335778,-118.3756028
2721 LaCienega Boulevard,Sold,Owner/User,34.0332219,-118.375881
2723-27 LaCienega Boulevard,Sold,Owner/User,34.033155,-118.37577
2728-42 LaCienega Boulevard,Sold,Owner/User,34.0335459,-118.3755499
3580 LaCienega Boulevard,Sold,Owner/User,34.021716,-118.3723597
2624 LaCienega Avenue (2),Sold,Owner User,34.033847,-118.377886
2630 LaCienega Avenue (2),Sold,Owner/User,34.0337224,-118.3779923
2632 LaCienega Avenue (2),Sold,Owner/User,34.0336553,-118.3779809
3201 LaCienega Avenue,Sold,Owner/User,34.032085,-118.37889
3209 LaCienega Avenue,Sold,Owner/User,34.031951,-118.378926
3215 LaCienega Avenue,Sold,Owner/User,34.0318017,-118.379209
3221 LaCienega Avenue (2),Sold,Investment,34.0289342,-118.3722665
3223 LaCienega Avenue (2),Sold,Investment,34.031627,-118.3791839
4415 Slauson Avenue,Sold,Owner/User,33.9980388,-118.4145074
8924 Lindblade Street,Sold,Owner/User,34.0257619,-118.3885429
9028 Lindblade Street,Sold,Owner/User,34.0246749,-118.3903234
3770 Selby Avenue,Sold,Owner/User,34.0188119,-118.408431
1804 Lincoln Boulevard,Sold,Owner/User,33.9964867,-118.4572244
1212 LaBrea Avenue,Sold,Owner/User,34.0528869,-118.3435124
1288 LaBrea Avenue,Sold,Owner/User,34.050674,-118.343833
3610-12 W. Pico Boulevard,Sold,Owner/User,34.0310316,-118.447248
4506-12 W. Pico Boulevard,Sold,Investment,34.0483662,-118.3338675
4569-79 W. Pico Boulevard,Sold,Investment,34.048984,-118.335398
5117 W. Pico Boulevard,Sold,Owner/User,34.0482969,-118.3498246
5358 W. Pico Boulevard,Sold,Investment,34.0481883,-118.355212
11705-07 W. Pico Boulevard,Sold,Owner/User,34.0316748,-118.4460867
11741 W. Pico Boulevard,Sold,Owner/User,34.0313544,-118.4467334
1601-03 W. Valley Boulevard,Sold,Investment,34.0041895,-118.3870194
11379 Playa Street,Sold,Investment,33.9909582,-118.3944594
3861-65 Jasmine Avenue (2),Sold,Owner/User,34.020303,-118.401112
3425 McLaughlin Avenue,Sold,Owner/User,34.0160341,-118.4306388
11722 Gateway Boulevard,Sold,Owner/User,34.0276439,-118.4431754
10603 Tabor St. (Rep. Buyer),Sold,Investment,34.023715,-118.40988
930 E. Hyde Park Boulevard,Sold,Owner/User,33.9783032,-118.3418345
20932 Osborne St. (Rep.    Buyer),Sold,Owner/User,34.2324703,-118.5897827
3332 Helms Avenue,Sold,Investment,34.028904,-118.3833332
3521 Helms Avenue,Sold,Owner/User,34.0266638,-118.3836527
350 Richmond Street,Sold,Investment,34.0211224,-118.3964665
13526 Lakewood Boulevard,Sold,Dev. Site,33.9610936,-118.031638
9019 Rosecrans Avenue,Sold,Dev. Site,33.9038008,-118.1423135
5053 Exposition Boulevard,Sold,Owner/User,34.025043,-118.35415
351-53 1/2 Robertson Boulevard,Sold,Investment,34.0330042,-118.3890714
355-59 Robertson Boulevard,Sold,Owner/User,34.0716413,-118.3837946
2350-54 Robertson Boulevard,Sold,Investment,34.0401769,-118.3876696
2356-60 Robertson Boulevard,Sold,Investment,34.0400505,-118.3876868
2507-09 Robertson Boulevard,Sold,Owner/User,34.038848,-118.3885422
2520 Robertson Boulevard,Sold,Investment,34.0384112,-118.3881717
2613 Robertson Boulevard,Sold,Owner/User,34.0380525,-118.3886853
2801-05 Robertson Boulevard,Sold,Owner/User,34.0366225,-118.3890847
2816-20 Robertson Boulevard,Sold,Owner/User,34.0359312,-118.3888108
2822 Robertson Boulevard,Sold,Owner/User,34.0358112,-118.3888108
2824-28 Robertson Boulevard,Sold,Owner/User,34.0358018,-118.3889512
3727 Robertson Boulevard,Sold,Owner/User,34.0272388,-118.390454
3717 Jefferson Boulevard,Sold,Owner/User,34.0041846,-118.3937657
4117 Jefferson Boulevard,Sold,Owner/User,34.0041846,-118.3937657
5020 Jefferson Boulevard,Sold,Owner/User,34.0041846,-118.3937657
5200 Jefferson Boulevard,Sold,Owner/User,34.0041547,-118.394018
6001 Jefferson Boulevard,Sold,Dev. Site,34.0215963,-118.378104
11501 Jefferson Boulevard,Sold,Owner/User,33.9887356,-118.3980995
11922 Jefferson Boulevard,Sold,Owner/User,33.984789,-118.4032685
11930 Jefferson Boulevard,Sold,Owner/User,33.9846444,-118.4035724
3743-81 Durango Avenue,Sold,Dev. Site,34.0278885,-118.3943619
3984 Tilden Avenue,Sold,Investment,34.010849,-118.411714
3990 Tilden Avenue,Sold,Owner/User,34.0106594,-118.4116242
4525-39 W. Adams Boulevard,Sold,Owner/User,34.0327636,-118.338775
4574-78 W. Adams Boulevard,Sold,Owner/User,34.0323506,-118.3403363
4774-78 W. Adams Boulevard,Sold,Owner/User,34.032411,-118.3446425
5103 W. Adams Boulevard,Sold,Dev. Site,34.032808,-118.351959
5109 W. Adams Boulevard,Sold,Dev. Site,34.0328031,-118.3521041
5111 W. Adams Boulevard,Sold,Dev. Site,34.0326676,-118.3523231
5235 W. Adams Boulevard,Sold,Owner/User,34.0327133,-118.3563049
5414-18 W. Adams Boulevard,Sold,Owner/User,34.0323466,-118.3611337
5761 W. Adams Boulevard,Sold,Owner/User,34.0327936,-118.3691248
5767 W. Adams Boulevard,Sold,Owner/User,34.0326835,-118.3693645
1084-88 Fairfax Avenue,Sold,Owner/User,34.0559227,-118.3646623
2633 Fairfax Avenue (2),Sold,Owner/User,34.0315866,-118.371446
4307 Centinela Avenue,Sold,Dev. Site,33.994381,-118.425661
6800 Centinela Avenue,Sold,Owner/User,33.9842142,-118.4021414
2615 Alvira Street,Sold,Owner/User,34.0332409,-118.376626
2620 Alvira Street,Sold,Owner/User,34.032839,-118.375938
3815 Dunn Drive,Sold,Owner/User,34.022458,-118.399482
3822 Dunn Drive,Sold,Dev. Site,34.022449,-118.398885
3828 Dunn Drive,Sold,Dev. Site,34.022333,-118.398796
3829 Dunn Drive,Sold,Owner/User,34.022117,-118.399204
3832 Dunn Drive,Sold,Dev. Site,34.022218,-118.398707
3836 Dunn Drive,Sold,Dev. Site,34.0221019,-118.398618
3837 Dunn Drive,Sold,Owner/User,34.021878,-118.39904
3842 Dunn Drive,Sold,Dev. Site,34.021987,-118.398529
2539 Mansfield Avenue,Sold,Dev. Site,34.0329782,-118.3517219
2545 Mansfield Avenue,Sold,Dev. Site,34.0330847,-118.3520083
6086 Comey Avenue,Sold,Owner/User,34.0351512,-118.3770035
3651 Crenshaw Boulevard,Sold,Owner/User,34.0212946,-118.33557
